Temp ID,Issue Type,Summary,Epic,Repo,Priority,Depends On,Stage,Labels
BK-087,Story,[BK-087] 고객센터 UI-연동 추가,EP-005,pangea-front,Medium,"BK-083;BK-031",S7,frontend|support|integration
BK-088,Story,[BK-088] DeviceInstallation 서버 연동,EP-005,pangea-front,Medium,"BK-084;BK-031",S7,frontend|device-installation|integration
BK-090,Story,[BK-090] BE API 통합 테스트 보강,EP-006,_legacy/Project_Prometheus_BE,High,BK-084,S8,backend|qa|tests
BK-091,Story,[BK-091] FE E2E 테스트 보강,EP-006,pangea-front,High,BK-088,S8,frontend|qa|e2e
BK-092,Task,[BK-092] 테넌시-권한 보안 회귀,EP-006,pangea-front+_legacy/Project_Prometheus_BE,Highest,"BK-090;BK-091",S8,security|tenant|qa
BK-093,Task,[BK-093] 스테이징 리허설-마이그레이션 드라이런,EP-006,pangea-front+_legacy/Project_Prometheus_BE,Highest,BK-092,S8,release|staging
BK-094,Task,[BK-094] 릴리즈 체크리스트-롤아웃,EP-006,pangea-front+_legacy/Project_Prometheus_BE,Highest,BK-093,S8,release|operations
BK-095,Story,[BK-095] 운영 관측성 구축(Sentry-APM-알람),EP-006,pangea-front+_legacy/Project_Prometheus_BE,Highest,BK-094,S8,observability|monitoring|ops
BK-096,Story,[BK-096] 성능-부하 테스트 및 튜닝,EP-006,pangea-front+_legacy/Project_Prometheus_BE,High,BK-093,S8,performance|load-test
BK-097,Story,[BK-097] 보안 하드닝(rate limit-bruteforce-upload 검증),EP-006,_legacy/Project_Prometheus_BE,Highest,"BK-012;BK-080",S8,security|hardening
BK-098,Task,[BK-098] 백업-복구 리허설(실행),EP-006,_legacy/Project_Prometheus_BE,Highest,BK-093,S8,backup|disaster-recovery
BK-099,Task,[BK-099] 릴리즈 전략(canary-rollback) 자동화,EP-006,pangea-front+_legacy/Project_Prometheus_BE,Highest,"BK-094;BK-095",S8,release|canary|rollback
